,Unnamed: 0,ID,Start_Time,County,State,Severity,Start_Lat,Start_Lng,Sunrise_Sunset,Weekday,Hour,Month
269401,580874,A-3302389,2020-11-16 01:54:43,Clayton,GA,2,33.624146,-84.400077,Night,0,1,11
270042,582150,A-3303688,2020-09-24 17:48:30,Clayton,GA,2,33.577675,-84.346233,Day,3,17,9
270111,582302,A-3303841,2020-12-01 23:53:00,Clayton,GA,2,33.641576,-84.37532399999999,Night,1,23,12
270112,582303,A-3303842,2020-09-28 20:54:30,Clayton,GA,2,33.641576,-84.37532399999999,Night,0,20,9
270877,583856,A-3305412,2020-10-12 04:08:00,Clayton,GA,2,33.582576,-84.279845,Night,0,4,10
270941,583982,A-3305539,2020-09-25 01:50:00,Clayton,GA,4,33.574551,-84.27606899999999,Night,4,1,9
271351,584843,A-3306415,2020-10-30 04:52:00,Clayton,GA,2,33.640898,-84.40039499999999,Night,4,4,10
271413,584963,A-3306535,2020-11-17 16:48:30,Clayton,GA,2,33.566848,-84.322912,Day,1,16,11
271644,585427,A-3307002,2020-11-08 11:52:00,Clayton,GA,2,33.587361,-84.382928,Day,6,11,11
272333,586844,A-3308448,2020-09-24 17:48:30,Clayton,GA,2,33.55818,-84.309043,Day,3,17,9
272839,587899,A-3309523,2020-10-29 14:55:00,Clayton,GA,2,33.623523,-84.424319,Day,3,14,10
272894,588015,A-3309642,2020-12-06 11:13:30,Clayton,GA,2,33.578407,-84.348772,Day,6,11,12
273123,588556,A-3310191,2020-09-25 04:56:00,Clayton,GA,2,33.576972999999995,-84.341975,Night,4,4,9
273176,588670,A-3310305,2020-10-23 10:35:30,Clayton,GA,2,33.606359999999995,-84.394611,Day,4,10,10
274286,590773,A-3312432,2020-11-26 02:31:00,Clayton,GA,2,33.640898,-84.40039499999999,Night,3,2,11
274673,591476,A-3313142,2020-09-15 13:38:24,Clayton,GA,2,33.591959,-84.38532,Day,1,13,9
275901,593709,A-3315394,2020-10-03 15:47:30,Clayton,GA,2,33.646559,-84.39827,Day,5,15,10
276125,594112,A-3315799,2020-09-28 13:56:00,Clayton,GA,2,33.621479,-84.39938199999999,Day,0,13,9
276454,594725,A-3316422,2020-12-11 04:08:30,Clayton,GA,2,33.591959,-84.38532,Night,4,4,12
277156,596034,A-3317753,2020-12-30 08:33:00,Clayton,GA,2,33.616692,-84.445382,Day,2,8,12
278083,597702,A-3319444,2020-10-07 05:04:00,Clayton,GA,2,33.629075,-84.40039499999999,Night,2,5,10
278995,599335,A-3321100,2020-12-19 17:05:00,Clayton,GA,4,33.572469,-84.331644,Day,5,17,12
279182,599691,A-3321462,2020-12-08 15:25:00,Clayton,GA,2,33.58613,-84.38033100000001,Day,1,15,12
279748,600711,A-3322498,2020-11-22 17:48:30,Clayton,GA,2,33.55818,-84.309043,Night,6,17,11
281514,604075,A-3325903,2020-11-07 19:36:23,Clayton,GA,2,33.633215,-84.398798,Night,5,19,11
282545,605914,A-3327757,2020-09-18 05:56:00,Clayton,GA,2,33.625127,-84.457172,Night,4,5,9
282558,605941,A-3327784,2020-12-17 10:11:00,Clayton,GA,2,33.626543,-84.419342,Day,3,10,12
282969,606687,A-3328546,2020-11-07 21:28:00,Clayton,GA,2,33.622214,-84.42721,Night,5,21,11
283697,608030,A-3329906,2020-10-25 09:57:00,Clayton,GA,2,33.623746000000004,-84.458333,Day,6,9,10
285310,610996,A-3332906,2020-10-17 06:30:00,Clayton,GA,2,33.63283,-84.401081,Night,5,6,10
285711,611760,A-3333678,2020-12-30 07:58:00,Clayton,GA,2,33.621414,-84.399579,Day,2,7,12
287789,615610,A-3337584,2020-12-14 07:38:00,Clayton,GA,4,33.629075,-84.40039499999999,Day,0,7,12
290373,620323,A-3342351,2020-12-08 06:24:00,Clayton,GA,2,33.63534,-84.401425,Night,1,6,12
290823,621132,A-3343174,2020-12-30 08:33:00,Clayton,GA,4,33.618732,-84.457622,Day,2,8,12
291037,621524,A-3343574,2020-11-07 21:39:00,Clayton,GA,2,33.618871999999996,-84.433269,Night,5,21,11
291747,622785,A-3344852,2020-09-28 20:54:30,Clayton,GA,2,33.641576,-84.37532399999999,Night,0,20,9
291952,623170,A-3345243,2020-11-18 13:54:30,Clayton,GA,2,33.563618,-84.27214000000001,Day,2,13,11
292039,623332,A-3345407,2020-11-07 02:19:00,Clayton,GA,2,33.646541,-84.39827,Night,5,2,11
292185,623599,A-3345678,2020-11-25 21:55:09,Clayton,GA,2,33.646559,-84.39827,Night,2,21,11
292191,623609,A-3345688,2020-12-13 05:18:00,Clayton,GA,2,33.626543,-84.419342,Night,6,5,12
293882,626697,A-3348808,2020-12-19 17:05:00,Clayton,GA,2,33.566528999999996,-84.322778,Day,5,17,12
294127,627150,A-3349263,2020-12-23 17:22:00,Clayton,GA,2,33.567599,-84.324349,Day,2,17,12
